arm,stage,global_step,local_step,loss,lr
quarter,1,7000,7000,0.9890999,0.0001
quarter,1,7050,7050,0.9890282,0.0001
quarter,1,7100,7100,0.989154,0.0001
quarter,1,7150,7150,0.9892156,0.0001
quarter,1,7200,7200,0.9890808,0.0001
quarter,1,7250,7250,0.9890677,0.0001
quarter,1,7300,7300,0.9889677,0.0001
quarter,1,7350,7350,0.9889972,0.0001
quarter,1,7400,7400,0.9887863,0.0001
quarter,1,7450,7450,0.9891254,0.0001
quarter,1,7500,7500,0.989072,0.0001
quarter,1,7550,7550,0.9891566,0.0001
quarter,1,7600,7600,0.9887841,0.0001
quarter,1,7650,7650,0.989165,0.0001
quarter,1,7700,7700,0.9892483,0.0001
quarter,1,7750,7750,0.9888459,0.0001
quarter,1,7800,7800,0.9888746,0.0001
quarter,1,7850,7850,0.9891617,0.0001
quarter,1,7900,7900,0.9891855,0.0001
quarter,1,7950,7950,0.9890065,0.0001
quarter,1,8000,8000,0.9890824,0.0001
quarter,1,8050,8050,0.9890181,0.0001
quarter,1,8100,8100,0.9892176,0.0001
quarter,1,8150,8150,0.9886723,0.0001
quarter,1,8200,8200,0.988908,0.0001
quarter,1,8250,8250,0.9890995,0.0001
quarter,1,8300,8300,0.9887857,0.0001
quarter,1,8350,8350,0.9891836,0.0001
quarter,1,8400,8400,0.9888478,0.0001
quarter,1,8450,8450,0.9891032,0.0001
quarter,1,8500,8500,0.9888895,0.0001
quarter,1,8550,8550,0.9890737,0.0001
quarter,1,8600,8600,0.9891374,0.0001
quarter,1,8650,8650,0.9889526,0.0001
quarter,1,8700,8700,0.988954,0.0001
quarter,1,8750,8750,0.9888861,0.0001
quarter,1,8800,8800,0.9891154,0.0001
quarter,1,8850,8850,0.9891031,0.0001
quarter,1,8900,8900,0.9884011,0.0001
quarter,1,8950,8950,0.9890245,0.0001
quarter,1,9000,9000,0.9889764,0.0001
quarter,1,9050,9050,0.9885691,0.0001
quarter,1,9100,9100,0.9891456,0.0001
quarter,1,9150,9150,0.9890594,0.0001
quarter,1,9200,9200,0.9888188,0.0001
quarter,1,9250,9250,0.9888315,0.0001
quarter,1,9300,9300,0.9889031,0.0001
quarter,1,9350,9350,0.9889383,0.0001
quarter,1,9400,9400,0.9889117,0.0001
quarter,1,9450,9450,0.9888008,0.0001
quarter,1,9500,9500,0.9892438,0.0001
quarter,1,9550,9550,0.9892301,0.0001
quarter,1,9600,9600,0.9889851,0.0001
quarter,1,9650,9650,0.9889759,0.0001
quarter,1,9700,9700,0.9891026,0.0001
quarter,1,9750,9750,0.9888856,0.0001
quarter,1,9800,9800,0.9885921,0.0001
quarter,1,9850,9850,0.9887595,0.0001
quarter,1,9900,9900,0.9888309,0.0001
quarter,1,9950,9950,0.9890144,0.0001
quarter,1,10000,10000,0.9891772,0.0001
quarter,1,10050,10050,0.989006,0.0001
quarter,1,10100,10100,0.9888567,0.0001
quarter,1,10150,10150,0.989159,0.0001
quarter,1,10200,10200,0.9888856,0.0001
quarter,1,10250,10250,0.9889118,0.0001
quarter,1,10300,10300,0.9888808,0.0001
quarter,1,10350,10350,0.9888703,0.0001
quarter,1,10400,10400,0.9887925,0.0001
quarter,1,10450,10450,0.9891943,0.0001
quarter,1,10500,10500,0.9889461,0.0001
quarter,1,10550,10550,0.9888862,0.0001
quarter,1,10600,10600,0.9888739,0.0001
quarter,1,10650,10650,0.9889066,0.0001
quarter,1,10700,10700,0.9888166,0.0001
quarter,1,10750,10750,0.9891846,0.0001
quarter,1,10800,10800,0.9886181,0.0001
quarter,1,10850,10850,0.9890777,0.0001
quarter,1,10900,10900,0.9890822,0.0001
quarter,1,10950,10950,0.9885538,0.0001
